File,ID,Title,Requisito,Tipo,Prioridade,Complexidade,Status,Missing
Casos_de_Uso_Lote_1.md,UC-001,Escrever textos,,RF,,,Válido,
Casos_de_Uso_Lote_1.md,UC-002,Editar textos,,RF,,,Válido,
Casos_de_Uso_Lote_1.md,UC-003,Salvar textos,,RF,,,Válido,
Casos_de_Uso_Lote_1.md,UC-004,Salvar automaticamente,,RF,,,Válido,
Casos_de_Uso_Lote_1.md,UC-005,Excluir textos,,RF,,,Válido,
Casos_de_Uso_Lote_1.md,UC-006,Duplicar textos,,RF,,,Válido,
Casos_de_Uso_Lote_1.md,UC-007,Importar textos,,RF,,,Válido,
Casos_de_Uso_Lote_1.md,UC-008,Exportar textos,,RF,,,Válido,
Casos_de_Uso_Lote_1.md,UC-009,Separação inteligente de textos,,RF,,,Válido,
Casos_de_Uso_Lote_1.md,UC-010,Organizar texto em pastas,,RF,,,Válido,
Casos_de_Uso_Lote_2.md,UC-011,Organizar texto em subpastas,,RF,,,Válido,
Casos_de_Uso_Lote_2.md,UC-012,Mover textos entre pastas,,RF,,,Válido,
Casos_de_Uso_Lote_2.md,UC-013,Organizar textos por tags,,RF,,,Válido,
Casos_de_Uso_Lote_2.md,UC-014,Organizar textos por categorias,,RF,,,Válido,
Casos_de_Uso_Lote_2.md,UC-015,Reconhecer diversas línguas,,RF,,,Válido,
Casos_de_Uso_Lote_2.md,UC-016,Reconhecer palavras,,RF,,,Válido,
Casos_de_Uso_Lote_2.md,UC-017,Reconhecer frases,,RF,,,Válido,
Casos_de_Uso_Lote_2.md,UC-018,"Reconhecer entidades (personagens, locais, objetos, organizações)",,RF,,,Válido,
Casos_de_Uso_Lote_2.md,UC-019,Auto subpastear algo,,RF,,,Válido,
Casos_de_Uso_Lote_2.md,UC-020,Agrupar palavras,,RF,,,Válido,
Casos_de_Uso_Lote_3.md,UC-021,Agrupar textos semelhantes,,RF,,,Válido,
Casos_de_Uso_Lote_3.md,UC-022,Procurar palavras,,RF,,,Válido,
Casos_de_Uso_Lote_3.md,UC-023,Procurar frases,,RF,,,Válido,
Casos_de_Uso_Lote_3.md,UC-024,Procurar por contexto,,RF,,,Válido,
Casos_de_Uso_Lote_3.md,UC-025,Procurar personagens,,RF,,,Válido,
Casos_de_Uso_Lote_3.md,UC-026,Procurar locais,,RF,,,Válido,
Casos_de_Uso_Lote_3.md,UC-027,Procurar eventos,,RF,,,Válido,
Casos_de_Uso_Lote_3.md,UC-028,Contabilizar palavras,,RF,,,Válido,
Casos_de_Uso_Lote_3.md,UC-029,Contabilizar caracteres,,RF,,,Válido,
Casos_de_Uso_Lote_3.md,UC-030,Reconhecer contexto das palavras,,RF,,,Válido,
Casos_de_Uso_Lote_4.md,UC-031,Reconhecer temas,,RF,,,Válido,
Casos_de_Uso_Lote_4.md,UC-032,Reconhecer palavras-chave,,RF,,,Válido,
Casos_de_Uso_Lote_4.md,UC-033,Linkar palavras a outras baseado no contexto,,RF,,,Válido,
Casos_de_Uso_Lote_4.md,UC-034,Linkar textos baseado no contexto,,RF,,,Válido,
Casos_de_Uso_Lote_4.md,UC-035,Linkar pasta baseado no contexto de seus textos,,RF,,,Válido,
Casos_de_Uso_Lote_4.md,UC-036,Linkar personagens,,RF,,,Válido,
Casos_de_Uso_Lote_4.md,UC-037,Linkar locais,,RF,,,Válido,
Casos_de_Uso_Lote_4.md,UC-038,Linkar objetos,,RF,,,Válido,
Casos_de_Uso_Lote_4.md,UC-039,Linkar eventos,,RF,,,Válido,
